lease_clause_id,lease_id,use_clause,exclusive_or_prohibited_uses,insurance_requirement,late_fee_terms,payment_method,hvac_split,maintenance_repairs,source_authority
clause_lease_101_103_the_pink_paisley_llc,lease_101_103_the_pink_paisley_llc,"Retail boutique (clothing, gifts, accessories, home décor, monogram items, jewelry)",Exclusive: no competing gift store. Prohibited: delicatessen / cat vet,Lessee reimburses any insurance increase caused by use,$100 + $25/day after 5th,LESSOR ACH,Tenant Pays Repair = $_____ Replace = $ ________,Interior tenant responsibility; landlord roof/exterior/structure,"Adobe lease abstracts, owner-corrected workbook"
clause_lease_105_painted_bayou,lease_105_painted_bayou,Painting pottery / ceramics studio retail,"Prohibited: deli, cat vet, competing boutique gift retail",$1M GL + additional insured,$100 + $25/day,101 Arnould Blvd / EFT,Tenant Pays Repair = $_____ Replace = $ ________,Interior tenant responsibility; landlord roof/exterior/structure,"Adobe lease abstracts, owner-corrected workbook"
clause_lease_107_great_american,lease_107_great_american,"Cookies, cookie cakes, ice cream",Exclusive: no tenant with >20% dessert sales,Lessee reimburses insurance increase,$100 + $25/day,PO Box 62230 or EFT,Tenant Pays Repair = $_____ Replace = $ ________,Interior tenant responsibility; landlord roof/exterior/structure,"Adobe lease abstracts, owner-corrected workbook"
clause_lease_109_jc_kate,lease_109_jc_kate,Infant & children's clothing boutique,"Prohibited: deli, cat vet",$1M GL + additional insured,$100 + $25/day,101 Arnould Blvd / EFT,Tenant Pays Repair = $_____ Replace = $ ________,Interior tenant responsibility; landlord roof/exterior/structure,"Adobe lease abstracts, owner-corrected workbook"
clause_lease_111_lola_pink,lease_111_lola_pink,Fabric & sewing retail,Undeterminable,$1M GL + additional insured,$100 + $25/day,101 Arnould Blvd / EFT,Tenant Pays Repair = $_____ Replace = $ ________,Interior tenant responsibility; landlord roof/exterior/structure,"Adobe lease abstracts, owner-corrected workbook"
clause_lease_113_graze_acadiana,lease_113_graze_acadiana,Charcuterie,,,true,,Tenant Pays Repair = $_____ Replace = $ ________,,"Adobe lease abstracts, owner-corrected workbook"
clause_lease_115_117_the_clothing_loft,lease_115_117_the_clothing_loft,Retail resale clothing store,"Prohibited: deli, cat vet",Lessee reimburses insurance increase,$100 + $25/day,LESSEE ACH,Tenant Pays Repair = $_____ Replace = $ ________,Interior tenant responsibility; landlord roof/exterior/structure,"Adobe lease abstracts, owner-corrected workbook"
clause_lease_117_half_victoria_nails,lease_117_half_victoria_nails,Nail salon,,,true,,Tenant Pays Repair = $_____ Replace = $ ________,Interior tenant responsibility; landlord roof/exterior/structure,"Adobe lease abstracts, owner-corrected workbook"
clause_lease_119_oupac,lease_119_oupac,Commercial retail,,$1M GL,$100 + $25/day,101 Arnould Blvd / EFT,"Tenant pays first $750 repair / $1,500 replacement",Interior tenant responsibility; landlord roof/exterior/structure,"Adobe lease abstracts, owner-corrected workbook"
clause_lease_119_half_cat_clinic_of_lafayette,lease_119_half_cat_clinic_of_lafayette,Veterinary clinic for cats,Exclusive cat clinic,$1M GL + additional insured,true,101 Arnould Blvd / EFT,"Tenant pays $750 repair / $2,500 replacement",Interior tenant responsibility; landlord roof/exterior/structure,"Adobe lease abstracts, owner-corrected workbook"
clause_lease_121_magnolia_salon,lease_121_magnolia_salon,Hair salon,,$1M GL,$100 + $25/day,101 Arnould Blvd / EFT,Tenant Pays Repair = $_____ Replace = $ ________,Interior tenant responsibility; landlord roof/exterior/structure,"Adobe lease abstracts, owner-corrected workbook"
clause_lease_123_the_tux_shoppe,lease_123_the_tux_shoppe,Tuxedo sales & rentals,,$1M GL,$100 + $25/day,101 Arnould Blvd / EFT,Tenant Pays Repair = $_____ Replace = $ ________,Interior tenant responsibility; landlord roof/exterior/structure,"Adobe lease abstracts, owner-corrected workbook"
